Date;Num;Name;Text;Account;Amount
01.02.2021;533140;ADMINISTRATIVE EXPENSE;MTCE-REP.-DP EQUIP-VENDOR;HIGHER EDUCATION COMPONENT UNITS;7547,43
01.02.2021;533220;ADMINISTRATIVE EXPENSE;MTCE-REP.-NON-MV EQ. IN-HOUSE;HIGHER EDUCATION COMPONENT UNITS;3243,99
01.02.2021;536140;ADMINISTRATIVE EXPENSE;OFFICE SUPPLIES (EXPENDABLE);HIGHER EDUCATION COMPONENT UNITS;3553,16
01.02.2021;541110;PROP,FURN,EQUIP & RELATED DEBT;OFFICE FURNITURE & EQUIPMENT;HIGHER EDUCATION COMPONENT UNITS;1420,2
01.02.2021;515540;PERSONAL SERVICES;OTHER PROF, SC. & TECH.SVC;GENERAL FUND;23343,25
01.02.2021;515610;PERSONAL SERVICES;BUSINESS SERVICE CENTERS;GENERAL FUND;883,49
01.02.2021;531350;ADMINISTRATIVE EXPENSE;UTILITY CHARGE-OTHER UTILITIES;GENERAL FUND;68,45
01.02.2021;531360;ADMINISTRATIVE EXPENSE;UTILITY CHARGE NATURAL GAS;GENERAL FUND;102,15
01.02.2021;531370;ADMINISTRATIVE EXPENSE;UTILITY CHARGE-ELECTRICTIY;GENERAL FUND;168,84
01.02.2021;532110;ADMINISTRATIVE EXPENSE;RENT OF OFFICE SPACE;GENERAL FUND;4732,06
01.02.2021;532160;ADMINISTRATIVE EXPENSE;RENT-ELEC DATA PROCESSING EQ.;GENERAL FUND;663,64
01.02.2021;536140;ADMINISTRATIVE EXPENSE;OFFICE SUPPLIES (EXPENDABLE);GENERAL FUND;291,84
01.02.2021;515580;PERSONAL SERVICES;BUSINESS SUPPORT SERVICES;GENERAL FUND;4040
01.02.2021;515610;PERSONAL SERVICES;BUSINESS SERVICE CENTERS;GENERAL FUND;8397,99
01.02.2021;532110;ADMINISTRATIVE EXPENSE;RENT OF OFFICE SPACE;GENERAL FUND;16998,66
01.02.2021;532160;ADMINISTRATIVE EXPENSE;RENT-ELEC DATA PROCESSING EQ.;GENERAL FUND;22,61
01.02.2021;533140;ADMINISTRATIVE EXPENSE;MTCE-REP.-DP EQUIP-VENDOR;GENERAL FUND;42795
01.02.2021;543120;PROP,FURN,EQUIP & RELATED DEBT;LEASE PURCHASE-DP EQUIPMENT;GENERAL FUND;161,88
01.02.2021;515610;PERSONAL SERVICES;BUSINESS SERVICE CENTERS;GENERAL FUND;162,97
01.02.2021;531350;ADMINISTRATIVE EXPENSE;UTILITY CHARGE-OTHER UTILITIES;GENERAL FUND;14,25
01.02.2021;531370;ADMINISTRATIVE EXPENSE;UTILITY CHARGE-ELECTRICTIY;GENERAL FUND;137,87
01.02.2021;532110;ADMINISTRATIVE EXPENSE;RENT OF OFFICE SPACE;GENERAL FUND;8209,75
01.02.2021;532130;ADMINISTRATIVE EXPENSE;RENT OF OTHER BUILDING SPACE;GENERAL FUND;3604,8
01.02.2021;532160;ADMINISTRATIVE EXPENSE;RENT-ELEC DATA PROCESSING EQ.;GENERAL FUND;21483,54
01.02.2021;533120;ADMINISTRATIVE EXPENSE;MTCE-REP.-EQUIPMENT-VENDORS;GENERAL FUND;1400
01.02.2021;533140;ADMINISTRATIVE EXPENSE;MTCE-REP.-DP EQUIP-VENDOR;GENERAL FUND;13858,47
01.02.2021;536140;ADMINISTRATIVE EXPENSE;OFFICE SUPPLIES (EXPENDABLE);GENERAL FUND;2531,89
01.02.2021;536250;ADMINISTRATIVE EXPENSE;REVENUE AND TAX STAMPS;GENERAL FUND;10943
01.02.2021;541110;PROP,FURN,EQUIP & RELATED DEBT;OFFICE FURNITURE & EQUIPMENT;GENERAL FUND;15153,26
01.02.2021;532130;ADMINISTRATIVE EXPENSE;RENT OF OTHER BUILDING SPACE;GENERAL FUND;112,5
01.02.2021;532160;ADMINISTRATIVE EXPENSE;RENT-ELEC DATA PROCESSING EQ.;GENERAL FUND;157,25
01.02.2021;536140;ADMINISTRATIVE EXPENSE;OFFICE SUPPLIES (EXPENDABLE);GENERAL FUND;180,5
01.02.2021;515400;PERSONAL SERVICES;ADMIN MGMT-GEN.MGMT CONSULTING;GENERAL FUND;18414,38
01.02.2021;515580;PERSONAL SERVICES;BUSINESS SUPPORT SERVICES;GENERAL FUND;1720
01.02.2021;531350;ADMINISTRATIVE EXPENSE;UTILITY CHARGE-OTHER UTILITIES;GENERAL FUND;1540,78
01.02.2021;531360;ADMINISTRATIVE EXPENSE;UTILITY CHARGE NATURAL GAS;GENERAL FUND;9903,19
01.02.2021;531370;ADMINISTRATIVE EXPENSE;UTILITY CHARGE-ELECTRICTIY;GENERAL FUND;29526,18
01.02.2021;532160;ADMINISTRATIVE EXPENSE;RENT-ELEC DATA PROCESSING EQ.;GENERAL FUND;3622,02
01.02.2021;533140;ADMINISTRATIVE EXPENSE;MTCE-REP.-DP EQUIP-VENDOR;GENERAL FUND;3881,48
01.02.2021;533220;ADMINISTRATIVE EXPENSE;MTCE-REP.-NON-MV EQ. IN-HOUSE;GENERAL FUND;619,74
01.02.2021;536140;ADMINISTRATIVE EXPENSE;OFFICE SUPPLIES (EXPENDABLE);GENERAL FUND;3231,18
01.02.2021;515580;PERSONAL SERVICES;BUSINESS SUPPORT SERVICES;GENERAL FUND;2380
01.02.2021;531230;ADMINISTRATIVE EXPENSE;ERP SYSTEM SERVICES;GENERAL FUND;253
01.02.2021;532160;ADMINISTRATIVE EXPENSE;RENT-ELEC DATA PROCESSING EQ.;GENERAL FUND;790,58
01.02.2021;533140;ADMINISTRATIVE EXPENSE;MTCE-REP.-DP EQUIP-VENDOR;GENERAL FUND;119,11
01.02.2021;536140;ADMINISTRATIVE EXPENSE;OFFICE SUPPLIES (EXPENDABLE);GENERAL FUND;386,9
01.02.2021;515400;PERSONAL SERVICES;ADMIN MGMT-GEN.MGMT CONSULTING;GENERAL FUND;30000
01.02.2021;515580;PERSONAL SERVICES;BUSINESS SUPPORT SERVICES;GENERAL FUND;45,92
01.02.2021;531350;ADMINISTRATIVE EXPENSE;UTILITY CHARGE-OTHER UTILITIES;GENERAL FUND;831,92
01.02.2021;531360;ADMINISTRATIVE EXPENSE;UTILITY CHARGE NATURAL GAS;GENERAL FUND;99,94
01.02.2021;531370;ADMINISTRATIVE EXPENSE;UTILITY CHARGE-ELECTRICTIY;GENERAL FUND;4723,8
01.02.2021;532130;ADMINISTRATIVE EXPENSE;RENT OF OTHER BUILDING SPACE;GENERAL FUND;432,63
01.02.2021;532160;ADMINISTRATIVE EXPENSE;RENT-ELEC DATA PROCESSING EQ.;GENERAL FUND;2711,15
01.02.2021;533140;ADMINISTRATIVE EXPENSE;MTCE-REP.-DP EQUIP-VENDOR;GENERAL FUND;-100
01.02.2021;515220;PERSONAL SERVICES;ARCHITECTURAL SERVICES;GENERAL FUND;6780
01.02.2021;515400;PERSONAL SERVICES;ADMIN MGMT-GEN.MGMT CONSULTING;GENERAL FUND;3075
01.02.2021;515440;PERSONAL SERVICES;OTHER MGMT CONSULTING SERVICES;GENERAL FUND;27866
01.02.2021;515540;PERSONAL SERVICES;OTHER PROF, SC. & TECH.SVC;GENERAL FUND;28
01.02.2021;515560;PERSONAL SERVICES;OFFICE ADMINISTRATIVE SERVICES;GENERAL FUND;64230,25
01.02.2021;515580;PERSONAL SERVICES;BUSINESS SUPPORT SERVICES;GENERAL FUND;1607,98
01.02.2021;531350;ADMINISTRATIVE EXPENSE;UTILITY CHARGE-OTHER UTILITIES;GENERAL FUND;349330,05
01.02.2021;531350;ADMINISTRATIVE EXPENSE;UTILITY CHARGE-OTHER UTILITIES;GENERAL FUND;88,53
01.02.2021;531360;ADMINISTRATIVE EXPENSE;UTILITY CHARGE NATURAL GAS;GENERAL FUND;74631,44
01.02.2021;531360;ADMINISTRATIVE EXPENSE;UTILITY CHARGE NATURAL GAS;GENERAL FUND;1595,66
01.02.2021;531370;ADMINISTRATIVE EXPENSE;UTILITY CHARGE-ELECTRICTIY;GENERAL FUND;525650,67
01.02.2021;531370;ADMINISTRATIVE EXPENSE;UTILITY CHARGE-ELECTRICTIY;GENERAL FUND;31910,79
01.02.2021;532110;ADMINISTRATIVE EXPENSE;RENT OF OFFICE SPACE;GENERAL FUND;239618,27
01.02.2021;532130;ADMINISTRATIVE EXPENSE;RENT OF OTHER BUILDING SPACE;GENERAL FUND;1000815
01.02.2021;532130;ADMINISTRATIVE EXPENSE;RENT OF OTHER BUILDING SPACE;GENERAL FUND;1317,9
01.02.2021;532160;ADMINISTRATIVE EXPENSE;RENT-ELEC DATA PROCESSING EQ.;GENERAL FUND;17438,14
01.02.2021;532160;ADMINISTRATIVE EXPENSE;RENT-ELEC DATA PROCESSING EQ.;GENERAL FUND;214,8
01.02.2021;533120;ADMINISTRATIVE EXPENSE;MTCE-REP.-EQUIPMENT-VENDORS;GENERAL FUND;40013,46
01.02.2021;533120;ADMINISTRATIVE EXPENSE;MTCE-REP.-EQUIPMENT-VENDORS;GENERAL FUND;23886,14
01.02.2021;533130;ADMINISTRATIVE EXPENSE;MTCE-REP.-TEL.EQUIP-VENDOR;GENERAL FUND;2695,24
01.02.2021;533140;ADMINISTRATIVE EXPENSE;MTCE-REP.-DP EQUIP-VENDOR;GENERAL FUND;5228,99
01.02.2021;533140;ADMINISTRATIVE EXPENSE;MTCE-REP.-DP EQUIP-VENDOR;GENERAL FUND;934,25
01.02.2021;533220;ADMINISTRATIVE EXPENSE;MTCE-REP.-NON-MV EQ. IN-HOUSE;GENERAL FUND;37316,25
01.02.2021;533220;ADMINISTRATIVE EXPENSE;MTCE-REP.-NON-MV EQ. IN-HOUSE;GENERAL FUND;27958,06
01.02.2021;533240;ADMINISTRATIVE EXPENSE;MTCE-REP.-DP EQUIP IN-HOUSE;GENERAL FUND;12013,9
01.02.2021;533240;ADMINISTRATIVE EXPENSE;MTCE-REP.-DP EQUIP IN-HOUSE;GENERAL FUND;567,43
01.02.2021;536140;ADMINISTRATIVE EXPENSE;OFFICE SUPPLIES (EXPENDABLE);GENERAL FUND;44682,55
01.02.2021;536140;ADMINISTRATIVE EXPENSE;OFFICE SUPPLIES (EXPENDABLE);GENERAL FUND;6141,76
01.02.2021;541110;PROP,FURN,EQUIP & RELATED DEBT;OFFICE FURNITURE & EQUIPMENT;GENERAL FUND;1602,98
01.02.2021;543140;PROP,FURN,EQUIP & RELATED DEBT;LEASE PURCHASE-LAND,BUILDINGS;GENERAL FUND;6329,7
01.02.2021;515540;PERSONAL SERVICES;OTHER PROF, SC. & TECH.SVC;GENERAL FUND;627,15
01.02.2021;515610;PERSONAL SERVICES;BUSINESS SERVICE CENTERS;GENERAL FUND;1607,58
01.02.2021;532110;ADMINISTRATIVE EXPENSE;RENT OF OFFICE SPACE;GENERAL FUND;72505,88
01.02.2021;532130;ADMINISTRATIVE EXPENSE;RENT OF OTHER BUILDING SPACE;GENERAL FUND;2327,1
01.02.2021;532160;ADMINISTRATIVE EXPENSE;RENT-ELEC DATA PROCESSING EQ.;GENERAL FUND;135,6
01.02.2021;536140;ADMINISTRATIVE EXPENSE;OFFICE SUPPLIES (EXPENDABLE);GENERAL FUND;2393,86
01.02.2021;541110;PROP,FURN,EQUIP & RELATED DEBT;OFFICE FURNITURE & EQUIPMENT;GENERAL FUND;1033,73
01.02.2021;543120;PROP,FURN,EQUIP & RELATED DEBT;LEASE PURCHASE-DP EQUIPMENT;GENERAL FUND;772,6
01.02.2021;515560;PERSONAL SERVICES;OFFICE ADMINISTRATIVE SERVICES;GENERAL FUND;3948
01.02.2021;531230;ADMINISTRATIVE EXPENSE;ERP SYSTEM SERVICES;GENERAL FUND;511,5
