-------------------------------------
|Feldname     |Von       |Bis       |
|-----------------------------------|
|Buchungsdatum|01.01.2022|31.12.2022|
|Geschäftsjahr|2022      |          |
|Kostenart    |ITC-IT    |          |
|Kostenstelle |10        |          |
|Periode von  |1         |16        |
|Version      |0         |          |
|Werttyp      |4         |          |
|Werttyp      |11        |          |
-------------------------------------
Anzeigevariante           ITC02      IT-Controlling Standard
Kostenstelle              131203...  Oellerich/ZN 2797...
K.Währung                 EUR        Euro

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   Jahr|Kostenstelle      |Kostenart          |Kostenartenbezeichn.    |Buchungsdatum  |              Wert/KWähr|Bezeichnung                                                                                                |Bestelltext                                                                                                   |Objektbezeichnung   |Partner-Kstl         |Einkaufsbeleg    |Konto Gegenbuchung      |RefBelegnr|
|2022   |9958085           |691050             |Anwendersoftware        |16.02.2022     |                 299,88 |014502037 SPSS Statistics Premium Edition                                                                  |                                                                                                              |GASTRO F+L          |                     |                 |101193                  |12201874  |
|2022   |9958050           |691050             |Anwendersoftware        |18.01.2022     |                 359,86 |Statistiksoftware SPSS (2020/2021/2022)                                                                    |Statistiksoftware SPSS (2020/2021/2022)                                                                       |F&L Palliativmedizin|                     |4500669852       |101193                  |512001341 |
|2022   |9958049           |691050             |Anwendersoftware        |01.01.2022     |                 130,68 |AB Beleg 12109997, Finkenzeller, 06/21-06/22                                                               |                                                                                                              |ANAE F+L            |                     |                 |171000                  |83056018  |
|2022   |9958049           |691050             |Anwendersoftware        |27.01.2022     |                  59,98 |SPSS Statistics Premium Edition                                                                            |SPSS Statistics Premium Edition                                                                               |ANAE F+L            |                     |4500825917       |101193                  |512003524 |
|2022   |9958047           |691050             |Anwendersoftware        |16.02.2022     |                  27,31 |019006078 CrashPIan PROe Lizen                                                                             |                                                                                                              |THG F+L             |                     |                 |101193                  |12201843  |
|2022   |9958043           |691050             |Anwendersoftware        |31.01.2022     |                  59,98 |014502037 SPSS Statistics Premium Edition                                                                  |                                                                                                              |NUC F+L             |                     |                 |101193                  |12200527  |
|2022   |9958043           |691050             |Anwendersoftware        |02.02.2022     |                 179,93 |SPSS Statistics Premium Edition                                                                            |                                                                                                              |NUC F+L             |                     |                 |101193                  |12200736  |
|2022   |9958042           |691050             |Anwendersoftware        |01.01.2022     |                 152,72 |AP, MathWorks, Beleg 12120121, 12/21-11/22                                                                 |                                                                                                              |NRAD F+L            |                     |                 |171000                  |83055885  |
|2022   |9958028           |691050             |Anwendersoftware        |16.02.2022     |                  46,41 |Brose, Julia, Lizenzgebühr ATLAS.ti                                                                        |                                                                                                              |GESCH.MED.F+L       |                     |                 |400001                  |12201862  |
|2022   |9958028           |691050             |Anwendersoftware        |27.01.2022     |                 856,80 |EVB-IT Wartungsvertrag 2022                                                                                |EVB-IT Wartungsvertrag 2022                                                                                   |GESCH.MED.F+L       |                     |4501786771       |119189                  |512003402 |
|2022   |9958028           |691050             |Anwendersoftware        |23.02.2022     |                 856,80 |EVB-IT Wartungsvertrag 2022                                                                                |EVB-IT Wartungsvertrag 2022                                                                                   |GESCH.MED.F+L       |                     |4501786771       |119189                  |512011633 |
|2022   |9958027           |691050             |Anwendersoftware        |01.02.2022     |                 299,88 |014502037 SPSS Statistics Premium Edition - 5 Stk                                                          |                                                                                                              |MED. STAT. F+L      |                     |                 |101193                  |12200542  |
|2022   |9958027           |691050             |Anwendersoftware        |21.02.2022     |               1.887,39 |ADDPLAN NEO BASE                                                                                           |ADDPLAN NEO BASE                                                                                              |MED. STAT. F+L      |                     |4501754542       |124900                  |512011143 |
|2022   |9958027           |691050             |Anwendersoftware        |27.01.2022     |               2.106,00 |Campuslizenz STATISTICA -,#1/22                                                                            |                                                                                                              |MED. STAT. F+L      |                     |                 |101193                  |12200340  |
|2022   |9958021           |691050             |Anwendersoftware        |18.02.2022     |                 299,88 |SPSS Statistics Premium Edition 01.01. - 30.09.20                                                          |                                                                                                              |NPATH F+L           |                     |                 |101193                  |12202033  |
|2022   |9958017           |691050             |Anwendersoftware        |24.01.2022     |                  27,31 |CrashPIan PROe Lizenz - 01.01. - 16.09.2022.                                                               |                                                                                                              |NEUR F+L Bähr I     |                     |                 |101193                  |12200223  |
|2022   |9958006           |691050             |Anwendersoftware        |31.01.2022     |                 539,78 |SPSS Statistics Premium Edition 01.01. - 30.09.202                                                         |                                                                                                              |KOGN. NEUR F+L WILKE|                     |                 |101193                  |12200389  |
|2022   |9958002           |691050             |Anwendersoftware        |31.01.2022     |                  59,98 |014502037 SPSS Statistics Premium Edition                                                                  |                                                                                                              |CUOP F+L LABORE     |                     |                 |101193                  |12200769  |
|2022   |9958002           |691050             |Anwendersoftware        |28.01.2022     |                  59,98 |SPSS Statistics Premium Edition                                                                            |SPSS Statistics Premium Edition                                                                               |CUOP F+L LABORE     |                     |4501418423       |101193                  |512003687 |
|2022   |9957195           |691050             |Anwendersoftware        |04.02.2022     |                 712,57 |Blackbit Website-Hosting CMS                                                                               |Blackbit Website-Hosting CMS                                                                                  |Humangenetik F+L    |                     |4501624599       |104212                  |512005857 |
|2022   |9957190           |691050             |Anwendersoftware        |27.01.2022     |                 150,59 |Campuslizenz STATISTICA Lizenzgebühr                                                                       |                                                                                                              |BAKTERIOLOGIE F+L   |                     |                 |101193                  |12200339  |
|2022   |9954690           |691050             |Anwendersoftware        |31.01.2022     |                 119,95 |014502037 SPSS Statistics Premium Edition - 2 Stk                                                          |                                                                                                              |MED.PSY F+L         |                     |                 |101193                  |12200642  |
|2022   |9954690           |691050             |Anwendersoftware        |31.01.2022     |                  27,31 |019006078 CrashPIan PROe Lizenz - 1 Stück Lizenzla                                                         |                                                                                                              |MED.PSY F+L         |                     |                 |101193                  |12200606  |
|2022   |9954690           |691050             |Anwendersoftware        |31.01.2022     |                  11,92 |310110041 JAMF Pro Casper Suite for Mac OS X Wartu                                                         |                                                                                                              |MED.PSY F+L         |                     |                 |101193                  |12200604  |
|2022   |9954690           |691050             |Anwendersoftware        |03.01.2022     |               3.445,61 |jährliche Nutzungsgebühr - anteilmãssig 01.01.202                                                          |                                                                                                              |MED.PSY F+L         |                     |                 |200191                  |12200005  |
|2022   |9954602           |691050             |Anwendersoftware        |01.02.2022     |                 239,90 |014502037 SPSS Statistics Premium Edition                                                                  |                                                                                                              |SP: Forens. Psy F+L |                     |                 |101193                  |12200573  |
|2022   |9954602           |691050             |Anwendersoftware        |21.01.2022     |                  59,98 |SPSS Lizenz                                                                                                |SPSS Lizenz                                                                                                   |SP: Forens. Psy F+L |                     |4501524309       |101193                  |512001943 |
|2022   |9954598           |691050             |Anwendersoftware        |31.01.2022     |                 659,74 |SPSS Statistics Premium Edition 2022                                                                       |                                                                                                              |PSOM F+L PSYCHOSOM. |                     |                 |101193                  |12200412  |
|2022   |9954074           |691050             |Anwendersoftware        |31.01.2022     |                  59,98 |014502037 SPSS Statistics Premium Edition - 1 Stk                                                          |                                                                                                              |PHARMAKOLOGIE F+L   |                     |                 |101193                  |12200608  |
|2022   |9954074           |691050             |Anwendersoftware        |01.01.2022     |                  76,18 |AB Beleg 12122701, Bleckwedel 11/21-10/22                                                                  |                                                                                                              |PHARMAKOLOGIE F+L   |                     |                 |171000                  |83055853  |
|2022   |9954074           |691050             |Anwendersoftware        |01.01.2022     |                 343,31 |Science Suite (Zimmermann), 12109453, 05/21-05/22                                                          |                                                                                                              |PHARMAKOLOGIE F+L   |                     |                 |171000                  |83055723  |
|2022   |9954073           |691050             |Anwendersoftware        |31.01.2022     |                 179,93 |014502037 1 SPSS Statistics Premium Edition - 3 St                                                         |                                                                                                              |KIEFERCHIRURGIE F+L |                     |                 |101193                  |12200559  |
|2022   |9954071           |691050             |Anwendersoftware        |26.01.2022     |                 239,90 |SPSS Statistics Premium Edition                                                                            |SPSS Statistics Premium Edition                                                                               |KIEFERORTHOPÄDIE FL |                     |4501172828       |101193                  |512002971 |
|2022   |9953493           |691050             |Anwendersoftware        |07.01.2022     |                  13,09 |Lizenznutzung                                                                                              |Lizenznutzung                                                                                                 |AUDNW F+L           |                     |4501305507       |101193                  |512000307 |
|2022   |9953493           |691050             |Anwendersoftware        |07.01.2022     |                  15,23 |Wartung und Support                                                                                        |Wartung und Support                                                                                           |AUDNW F+L           |                     |4501305507       |101193                  |512000307 |
|2022   |9953462           |691050             |Anwendersoftware        |07.01.2022     |                 104,72 |Lizenznutzung                                                                                              |Lizenznutzung                                                                                                 |BIN_Zentrale Mittel |                     |4501280961       |101193                  |512000307 |
|2022   |9953462           |691050             |Anwendersoftware        |07.01.2022     |                 121,86 |Wartung und Support                                                                                        |Wartung und Support                                                                                           |BIN_Zentrale Mittel |                     |4501280961       |101193                  |512000307 |
|2022   |9951903           |691050             |Anwendersoftware        |31.01.2022     |                  27,31 |019006078 CrashPIan PROe Lizenz - 1 Stück Lizenzla                                                         |                                                                                                              |Molekularbiologie   |                     |                 |101193                  |12200605  |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Anzeigevariante           ITC02      IT-Controlling Standard
Kostenstelle              131203...  Oellerich/ZN 2797...
K.Währung                 EUR        Euro

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   Jahr|Kostenstelle      |Kostenart          |Kostenartenbezeichn.    |Buchungsdatum  |              Wert/KWähr|Bezeichnung                                                                                                |Bestelltext                                                                                                   |Objektbezeichnung   |Partner-Kstl         |Einkaufsbeleg    |Konto Gegenbuchung      |RefBelegnr|
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|2022   |9951811           |691050             |Anwendersoftware        |28.01.2022     |                 137,92 |CorelDRAW Graphics Suite 2021                                                                              |CorelDRAW Graphics Suite 2021                                                                                 |Neuro/Sinne Tetzlaff|                     |4501797734       |108478                  |512003634 |
|2022   |9951037           |691050             |Anwendersoftware        |31.01.2022     |                  56,72 |all-inkl Premium 15.01.2022-17.07.2022                                                                     |                                                                                                              |KIND F+L            |                     |                 |400003                  |12200717  |
|2022   |9951037           |691050             |Anwendersoftware        |25.02.2022     |                  59,98 |SPSS Statistics Premium Edition - 1 Stk                                                                    |                                                                                                              |KIND F+L            |                     |                 |101193                  |12202621  |
|2022   |9951035           |691050             |Anwendersoftware        |02.02.2022     |                 119,95 |SPSS Statistics Edition                                                                                    |                                                                                                              |NEUR F+L Mollenhauer|                     |                 |101193                  |12200734  |
|2022   |9951035           |691050             |Anwendersoftware        |02.02.2022     |                 119,95 |SPSS Statistics Premium Edition                                                                            |                                                                                                              |NEUR F+L Mollenhauer|                     |                 |101193                  |12200732  |
|2022   |9950815           |691050             |Anwendersoftware        |27.01.2022     |                  27,31 |CrashPIan PROe Lizenz 17.09.2021 -16.09.2022                                                               |                                                                                                              |MR Forschung Kosten |                     |                 |101193                  |12200329  |
|2022   |9950815           |691050             |Anwendersoftware        |26.01.2022     |                 766,87 |Dechent,P., Neurobehavioral Lizenz Upgrade                                                                 |                                                                                                              |MR Forschung Kosten |                     |                 |308221                  |12200293  |
|2022   |9950815           |691050             |Anwendersoftware        |01.01.2022     |               1.040,06 |Exprodo Software, 12105337, 05/21-04/22                                                                    |                                                                                                              |MR Forschung Kosten |                     |                 |171000                  |83055700  |
|2022   |9950370           |691050             |Anwendersoftware        |31.01.2022     |                  59,98 |SPSS Statistics Premium Edition - 1 Stk                                                                    |                                                                                                              |Geriatrie F+L       |                     |                 |101193                  |12200522  |
|2022   |9950197           |691050             |Anwendersoftware        |14.02.2022     |                  86,06 |Visio Professional 2021 LTSC                                                                               |Visio Professional 2021 LTSC                                                                                  |TIERSCHUTZB.        |                     |4501799427       |108478                  |512008508 |
|2022   |9950176           |691050             |Anwendersoftware        |01.01.2022     |                  29,77 |Vetidata, Beleg 12109428, 06/21-06/22                                                                      |                                                                                                              |G1-13 TierExperiment|                     |                 |171000                  |83055722  |
|2022   |9931310           |691050             |Anwendersoftware        |31.01.2022     |                   5,70-|01/2022 VST 9931310 AF                                                                                     |                                                                                                              |Vorsteuer           |                     |                 |169000                  |81200209  |
|2022   |9931310           |691050             |Anwendersoftware        |31.01.2022     |                   5,70 |VST 19%   Vorsteuerabzug 19%                                                                               |                                                                                                              |Vorsteuer           |1317630              |                 |                        |          |
|2022   |9840043           |691050             |Anwendersoftware        |26.01.2022     |                  11,90-|Brandschutz - 2019 online                                                                                  |Brandschutz - 2019 online                                                                                     |G3-3332 Werksfeuerw.|                     |4500805456       |101060                  |512002873 |
|2022   |9840042           |691050             |Anwendersoftware        |31.01.2022     |                  59,98 |SPSS Statistics 01.10.2021- 30.09.2022                                                                     |                                                                                                              |Prionenforschung    |                     |                 |101193                  |12200935  |
|2022   |9706189           |691050             |Anwendersoftware        |31.01.2022     |               3.539,59 |Via Medici B2B 01.01.22 - 31.12.22 Lizen                                                                   |                                                                                                              |G2-3 Gebühren       |                     |                 |100806                  |12200823  |
|2022   |9614057           |691050             |Anwendersoftware        |01.01.2022     |                 294,02 |Straumann, Beleg 12113409, 07/21-07/22                                                                     |                                                                                                              |UMG Pro Dental      |                     |                 |171000                  |83055735  |
|2022   |9590156           |691050             |Anwendersoftware        |10.02.2022     |                 442,29 |Planungssoftware CMF                                                                                       |Planungssoftware CMF                                                                                          |MKG OP              |                     |4501676036       |109660                  |512007913 |
|2022   |9590156           |691050             |Anwendersoftware        |09.02.2022     |              17.101,83 |Planungssoftware CMF                                                                                       |Planungssoftware CMF                                                                                          |MKG OP              |                     |4501676036       |325000                  |5000100827|
|2022   |9585391           |691050             |Anwendersoftware        |01.01.2022     |                 274,89 |AP, speechmedia, Beleg 511113121, 12/21-11/22                                                              |                                                                                                              |DERM DERMATOHISTOPAT|                     |                 |171000                  |83055797  |
|2022   |9585391           |691050             |Anwendersoftware        |21.02.2022     |                 299,88 |Dragon Medical Practice Ed. 3                                                                              |Dragon Medical Practice Ed. 3                                                                                 |DERM DERMATOHISTOPAT|                     |4501728552       |125463                  |512010904 |
|2022   |9570164           |691050             |Anwendersoftware        |31.01.2022     |                 479,81 |014502037 SPSS Statistics Premium Edition - 8 Stk                                                          |                                                                                                              |THER KRANKENVERSORG.|                     |                 |101193                  |12200655  |
|2022   |9564292           |691050             |Anwendersoftware        |31.01.2022     |                 599,76 |014502037 SPSS Statistics Premium Edition - 10 Stk                                                         |                                                                                                              |KIJU LEITUNG/VERWALT|                     |                 |101193                  |12200656  |
|2022   |9564290           |691050             |Anwendersoftware        |07.02.2022     |               3.113,28 |License fee 300x10 USD                                                                                     |                                                                                                              |PSY LTG/VERW        |                     |                 |128588                  |12201065  |
|2022   |9564290           |691050             |Anwendersoftware        |31.01.2022     |               1.199,52 |SPSS Statistics Premium Edition                                                                            |                                                                                                              |PSY LTG/VERW        |                     |                 |101193                  |12201014  |
|2022   |9564290           |691050             |Anwendersoftware        |31.01.2022     |                 119,95 |SPSS Statistics Premium Edition                                                                            |                                                                                                              |PSY LTG/VERW        |                     |                 |101193                  |12201015  |
|2022   |9564290           |691050             |Anwendersoftware        |28.01.2022     |                  59,98 |SPSS Statistics Premium Edition                                                                            |SPSS Statistics Premium Edition                                                                               |PSY LTG/VERW        |                     |4501199121       |101193                  |512003715 |
|2022   |9564290           |691050             |Anwendersoftware        |28.01.2022     |                  59,98 |SPSS Statistics Premium Edition                                                                            |SPSS Statistics Premium Edition                                                                               |PSY LTG/VERW        |                     |4501200943       |101193                  |512003869 |
|2022   |9564290           |691050             |Anwendersoftware        |27.01.2022     |                  59,98 |SPSS Statistics Premium Edition - 1 Stk                                                                    |                                                                                                              |PSY LTG/VERW        |                     |                 |101193                  |12200334  |
|2022   |9564290           |691050             |Anwendersoftware        |27.01.2022     |                 719,71 |SPSS Statistics Premium Edition - 12 Stk                                                                   |                                                                                                              |PSY LTG/VERW        |                     |                 |101193                  |12200335  |
|2022   |9558012           |691050             |Anwendersoftware        |07.01.2022     |                  15,23 |Lizenz-Nutzung                                                                                             |Lizenz-Nutzung                                                                                                |NPHYS LTG/VERW      |                     |4501304884       |101193                  |512000308 |
|2022   |9558012           |691050             |Anwendersoftware        |07.01.2022     |                 167,55 |Lizenznutzung                                                                                              |Lizenznutzung                                                                                                 |NPHYS LTG/VERW      |                     |4501304884       |101193                  |512000307 |
|2022   |9558012           |691050             |Anwendersoftware        |07.01.2022     |                  13,09 |Wartung und Support                                                                                        |Wartung und Support                                                                                           |NPHYS LTG/VERW      |                     |4501304884       |101193                  |512000308 |
|2022   |9558012           |691050             |Anwendersoftware        |07.01.2022     |                 143,99 |Wartung und Support                                                                                        |Wartung und Support                                                                                           |NPHYS LTG/VERW      |                     |4501304884       |101193                  |512000307 |
|2022   |9552055           |691050             |Anwendersoftware        |07.01.2022     |               2.541,02 |01 - 03.22, NEXUS Basismodul, Pat. stationär u.a.                                                          |                                                                                                              |NEUR LTG/VERW       |                     |                 |122017                  |12200023  |
|2022   |9552055           |691050             |Anwendersoftware        |27.01.2022     |                  27,31 |Crash PIan PROe Lizenz - 1 Stück Lizenzl                                                                   |                                                                                                              |NEUR LTG/VERW       |                     |                 |101193                  |12200330  |
|2022   |9552055           |691050             |Anwendersoftware        |18.02.2022     |                  27,31 |CrashPIan PROe Lizenz                                                                                      |                                                                                                              |NEUR LTG/VERW       |                     |                 |101193                  |12201995  |
|2022   |9552055           |691050             |Anwendersoftware        |24.01.2022     |                  27,31 |CrashPIan PROe Lizenz - 01.01. - 16.09.2022.                                                               |                                                                                                              |NEUR LTG/VERW       |                     |                 |101193                  |12200222  |
|2022   |9552055           |691050             |Anwendersoftware        |31.01.2022     |                  59,98 |SPSS Statistics Premium Edition                                                                            |                                                                                                              |NEUR LTG/VERW       |                     |                 |101193                  |12200413  |
|2022   |9502069           |691050             |Anwendersoftware        |31.01.2022     |                  59,98 |014502037 SPSS Statistics Premium Edition - 1 Stk                                                          |                                                                                                              |UROL LTG/VERW       |                     |                 |101193                  |12200549  |
|2022   |9488045           |691050             |Anwendersoftware        |21.01.2022     |                  59,98 |SPSS Statistics Premium Edition                                                                            |SPSS Statistics Premium Edition                                                                               |THG LTG/VERW        |                     |4500776512       |101193                  |512001939 |
|2022   |9382890           |691050             |Anwendersoftware        |31.01.2022     |               1.019,59 |014502037 SPSS Statistics Premium Edition - 17 Stk                                                         |                                                                                                              |PAED3 LTG/VERW.     |                     |                 |101193                  |12200648  |
